lat	lon	title	icon	iconSize	iconOffset	description	popupSize
51.05	13.3	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:88	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.7986	12.2461	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:89	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.0035	7.64583	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:90	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
47.6833	11.5667	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:91	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.318	6.20199	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:92	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
52.1221	7.9421	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:93	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.0136	8.35619	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:94	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
49.394	10.891	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:95	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
48.3667	7.88333	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:96	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
40.5665	22.9747	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:97	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
46.964	8.38441	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:98	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
51.3681	12.3644	urn:ogc:object:feature:Sensor:IDIRA:WEATHER:STATION:99	./images/iconSquareWeatherStation_64x64.png	24,24	-8,-8	...	200,80
